Key,Source,Context,Changes,schinese
hysqDesc,blocks,Workstation,New,旧日支配者黄衣之主哈斯塔用来喝酒的酒杯，被克苏鲁打至凡间，据说能够召唤来黄衣之主的投影，此外还有一些奇妙的作用,,,,,
CurseHandDesc,items,item,New,万物归一者—犹格索托斯的眷属和信徒们在无尽的岁月里不断追寻着真理，无数的生灵死于他们的疯狂试验，这些冤魂亡灵凝聚成了不可磨灭的鬼魂诅咒一切被其双手触摸者，或许调查员也能够借助诅咒的力量达到一些邪恶的目的,,,,,
BlackFingerDesc,items,item,New,森之黑山羊的本来面目是人类无法理解的，人们往往会联想到山羊头恶魔和锋利的爪牙，但森之黑山羊是不在乎的因为这不过是一种具象化的形式，所以断指也不过是基于想象的理解，但不妨碍使用,,,,,
PlagueFangsDesc,items,item,New,感染瘟疫的疯狂之犬，拔掉它们的尖牙就会使其丧失疯狂的攻击性,,,,,
HotTongueDesc,items,item,New,黄衣之主赐予他的眷属们炎热之舌让它们行走于人世间可以沟通炎热之力，轻易的吞吐出符文火焰打击目标言出法随,,,,,
BurningTongueImpDesc,items,item,New,麻雀虽小五脏俱全！研究小鬼的构造能够理解古神是如何将强大的力量压缩到如此小的体积之上，小东西长得真别致！,,,,,
BlackHeartDesc,items,item,New,殉道者拥有着坚定而腐烂的心脏，既可以证明它对神的绝对忠诚也能令他的形体永不磨灭，直到为主人寻找到良好的祭品,,,,,
TerrorFleshDesc,items,item,New,从令人惊骇的巨兽身上撕下的可怖血肉，居然还在缓缓蠕动，肌肉中密布着眼状组织还在注视着观察者，呕！,,,,,
ssPowderDesc,items,item,New,拥有神圣能量的秘银粉末,,,,,
byPowderDesc,items,item,New,蕴含着狂暴火焰元素的奇异粉末,,,,,
lmPowderDesc,items,item,New,蕴含着雷霆之力的奇异粉末,,,,,
toolDoomBellows,items,item,末日风箱,,,,,
OldGodOilDesc,items,item,New,这天，你像往常那样进行着化学实验，心不在焉的你不小心将腐蚀物质打翻到那恐怖的血肉之上，你本以为会有一场可怕的爆炸发生，但却惊奇的发现血肉之上析出了神秘的液体,,,,,
lnPowderDesc,items,item,New,蕴含着强大灵能的奇异粉末,,,,,
mdPowderDesc,items,item,New,蕴含浓烈毒素的腐朽粉末 使用旧日主宰们的能量制作剧毒真是禁忌又邪恶,,,,,
sdPowderDesc,items,item,New,带有刺骨的霜冻元素的奇异粉末,,,,,
NightmareEssenceDesc,items,item,New,梦魇精华蕴含十倍于元素粉末的禁忌能量，足够支撑在灵魂之井中进行的上级附魔和对梦魇的本质的研究，亦或者寻求更加禁忌的使命,,,,,
hyzhDesc,items,item,New,黄衣之主的灵魂被封印于此 虽然很衰弱但这能量依然是人类难以承受的,,,,,
hsyzlDesc,items,item,New,被猎杀的黑山羊子嗣的头颅 关于黑山羊之母的力量与学识汇聚于这可怖的头颅之中 真应该好好利用,,,,,
BloodheadDesc,items,item,New,古神们在漫长而古老的旧日里为伟大的克苏鲁诞下过许多子嗣，而其中的下位者们诞下的子嗣也被称为私生子往往先天不足，待其成年后要流放至无尽虚空踏上流浪之旅，克苏托亚在流浪生涯中与哥哥相依为命，并屠杀一切敢于冒犯双子之人,,,,,
DarkheadDesc,items,item,New,即便是私生子克苏提斯依然天赋卓越拥有着无尽的生命，生来便掌握湮灭之力的祂放弃了被赐予留在拉莱耶神殿的资格，与弟弟一起踏上了虚空之旅,,,,,
GodsFood1Desc,items,Food,New,真正的造物主才配享用的口粮 可以提高10000点经验值,,,,,
GodsFood2Desc,items,Food,New,真正的造物主才配享用的中型口粮 可以提高100000点经验值,,,,,
GodsFood3Desc,items,Food,New,真正的造物主才配享用的大型口粮 可以提高1000000点经验值 嗝~,,,,,
SPAntidoteDesc,items,Medical,New,可以立即解除慢性毒、神经毒、感染的异常状态,,,,,
EatFireDesc,items,Medical,New,吞噬火焰能量的秘药 利用火元素的力量激发出潜能对敌人造成伤害上升100% 但每秒会受到5点伤害持续20秒,,,,,
BlackStoneDesc,items,Medical,New,服用黑石精髓可以让你的皮肤像岩石一样坚不可破 护甲和元素抗性各上升40点 并抵抗大多数异常状态 但移动速度会大幅下降持续20秒,,,,,
Shadow01Desc,items,Medical,New,不懂潜行之人也可借助暗影之力遁匿于黑暗之中,,,,,
dream01Desc,items,Medical,New,使用救赎之心可以解除旧日之奴的烙印，恢复40点SAN,,,,,
dream02Desc,items,Medical,New,萃取美好梦境制作而成的药剂，服用可以立即恢复40点SAN,,,,,
dream03Desc,items,Medical,New,可以让你获得强大理智的药剂，服用后每秒恢复3点SAN，持续20秒,,,,,
dream04Desc,items,Medical,New,使用调查员之心犹如聆听先贤的教诲，可以跃迁到首席调查官,,,,,
dream05Desc,items,Medical,New,使用学者之心可以继承传奇调查员的精神，意志等级提升1级,,,,,
LalayePlate1Desc,items,Clothes,New,来自旧日神域拉莱耶的战士们穿戴的板甲胸甲  旧日之神会守护他的战士生命低于40%时每秒回复0.6的生命值     <集齐拉莱耶三件套装可激发套装效果  生命值低于80%时每秒恢复1点生命  生命低于10%时获得克苏鲁之守护免疫一切伤害持续10秒>,,,,,
LalayePlate2Desc,items,Clothes,New,来自旧日神域拉莱耶的战士们穿戴的板甲髋甲  旧日之神会守护他的战士最大生命增加65点  生命低于40%时每秒回复0.2的生命值     <集齐拉莱耶三件套装可激发套装效果  生命值低于80%时每秒恢复1点生命  生命低于10%时获得克苏鲁之守护免疫一切伤害持续10秒>,,,,,
LalayePlate3Desc,items,Clothes,New,来自旧日神域拉莱耶的战士们穿戴的板甲护手  旧日之神会守护他的战士最大生命增加35点  生命低于40%时每秒回复0.2的生命值  使用力量型武器伤害上升20%     <集齐拉莱耶三件套装可激发套装效果  生命值低于80%时每秒恢复1点生命  生命低于10%时获得克苏鲁之守护免疫一切伤害持续10秒>,,,,,
BMSkin1Desc,items,Clothes,New,受到森之黑山羊母亲的力量加持  耐力值恢复速度上升30%并降低奔跑和攻击时耐力消耗  强大的生命能量使得你最大生命值上升40点     <集齐黑山羊三件套装可激发套装效果，每10秒获得一次暗影一击增益，下次攻击伤害上升1倍；生命值低于20%时攻速上升1倍>,,,,,
BMSkin2Desc,items,Clothes,New,受到森之黑山羊母亲的力量加持  击杀敌人可回复20点耐力  强大的生命能量使得你最大耐力值上升30点     <集齐黑山羊三件套装可激发套装效果，每10秒获得一次暗影一击增益，下次攻击伤害上升1倍；生命值低于20%时攻速上升1倍>,,,,,
BMSkin3Desc,items,Clothes,New,受到森之黑山羊母亲的力量加持  攻速和对敌人造成伤害上升10%  强大的生命能量使得你最大耐力值上升25点     <集齐黑山羊三件套装可激发套装效果，每10秒获得一次暗影一击增益，下次攻击伤害上升1倍；生命值低于20%时攻速上升1倍>,,,,,
FaithRobes1Desc,items,Clothes,New,犹格索托斯的狂热信徒穿戴着刻有古老铭文的长袍  物理防御力不高但对异常状态和元素伤害却有着优秀抵抗能力     <集齐信徒三件套装可激发套装效果，饥饿和饥渴度消耗降低15%，最大生命值和最大耐力值上升20点，基础伤害上升50点；周围范围10米内的盟友会受到异端守护增益，增加7点护甲和10点伤害抵抗；自己击杀敌人时会获得甜蜜祭品增益，短时间内大幅上升移动速度和伤害>,,,,,
FaithRobes2Desc,items,Clothes,New,犹格索托斯的狂热信徒穿戴着刻有古老铭文的长裙  饥饿和饥渴度消耗下降10%     <集齐信徒三件套装可激发套装效果，饥饿和饥渴度消耗降低15%，最大生命值和最大耐力值上升20点，基础伤害上升50点；周围范围10米内的盟友会受到异端守护增益，增加7点护甲和10点伤害抵抗；自己击杀敌人时会获得甜蜜祭品增益，短时间内大幅上升移动速度和伤害>,,,,,
FaithRobes3Desc,items,Clothes,New,犹格索托斯的狂热信徒穿戴着刻有古老铭文的手套  饥饿和饥渴度消耗下降5%     <集齐信徒三件套装可激发套装效果，饥饿和饥渴度消耗降低15%，最大生命值和最大耐力值上升20点，基础伤害上升50点；周围范围10米内的盟友会受到异端守护增益，增加7点护甲和10点伤害抵抗；自己击杀敌人时会获得甜蜜祭品增益，短时间内大幅上升移动速度和伤害>,,,,,
JJMJDesc,items,Clothes,New,禁忌学家在长年的探索中掌握了看破禁忌本质的技艺 <佩戴之后每秒额外提升0.5的SAN回复；制作速度提升50%；工作台制作>,,,,,
GSYHDesc,items,Clothes,New,拉莱耶出品古神一号采用上好秘仪香料提神醒脑 <佩戴击杀古神单位恢复20点SAN；力量加1；工作台制作>  —— 吸烟有害健康,,,,,
BJMSDesc,items,Clothes,New,没有哪个正常人会愿意信仰阿撒托斯,因为这必将遭来恐怖 <SAN值越低伤害能力越强，最大60%；工作台制作>,,,,,
YDMHDesc,items,Clothes,New,犹格索托斯的信徒之证，侥幸信仰犹格索托斯竟妙不可言 <SAN值过低时的最初10秒可以免疫噩梦纠缠；冷却时间60秒；工作台制作>,,,,,
FireEnchantmentDesc,items,Melee,New,炎之誓附魔：明显增强武器的伤害，攻击时有一定几率使敌人燃烧,,,,,
FireEnchantment2Desc,items,Melee,New,炎狱：明显增强武器的伤害，攻击时有一定几率使范围敌人陷入炎狱折磨【伤害随意志等级提升】,,,,,
ThunderEnchantmentDesc,items,Melee,New,雷契附魔：增加武器的伤害和攻速，攻击时有一定几率使敌人电击,,,,,
ThunderEnchantment2Desc,items,Melee,New,雷罚附魔：增加武器的伤害和攻速【伤害随意志等级提升】，攻击时有一定几率使范围敌人受到雷罚,,,,,
PowerEnchantmentDesc,items,Melee,New,狂暴者附魔：增加武器的伤害但会降低攻速，攻击时有一定几率敌人会被灵能冲击击倒,,,,,
PowerEnchantment2Desc,items,Melee,New,湮灭附魔：增加武器的伤害但会降低攻速【伤害随意志等级提升】，攻击时有一定发动湮灭冲击，对范围造成伤害并击飞攻击目标,,,,,
IceEnchantmentDesc,items,Melee,New,冰魔附魔：增加武器的伤害，攻击时有一定几率使敌人霜冻大幅降低速度，继续攻击处于霜冻的敌人有几率将其冻结,,,,,
IceEnchantment2Desc,items,Melee,New,冰帝附魔：增加武器的伤害【伤害随意志等级提升】，攻击时有一定几率使范围敌人受到极冰伤害,,,,,
BloodEnchantmentDesc,items,Melee,New,血欲附魔：增加武器攻击速度，击杀敌人时会从敌人的血肉中汲取生命能量为自己恢复一定的生命值,,,,,
BloodEnchantment1Desc,items,Melee,New,血狂乱附魔：武器攻击力随意志等级成长，每击恢复2点生命值，击杀恢复15点生命值，生命低于30%时每击恢复量提升3倍，生命值越低伤害越高最多增加120%,,,,,
FireBowEnchantmentDesc,items,Gun,New,炎之誓附魔：明显增强武器的伤害，攻击时有一定几率使敌人燃烧,,,,,
BloodBowEnchantmentDesc,items,Gun,New,血欲附魔：增加武器攻击速度，击杀敌人时会从敌人的血肉中汲取生命能量为自己恢复一定的生命值,,,,,
BlackHandDesc,items,Melee,New,攻击敌人有60%的几率为敌人施加祭品之印使其受到的伤害均被放大     <战技:黑山羊化身>右键激活进入化身状态生出恶魔翼，移动速度上升15%，增强120%的跳跃力，跳跃耐力消耗降低55%，持续20秒 ,,,,,
RuneBigSwordDesc,items,Melee,New,传奇铸剑大师将庞大的符文之力凝练到了巨剑之上，拥有可怕的破坏力但显然不是常人能挥舞自如的【符文大剑的攻击力会随着意志等级的提升而成长】 ,,,,,
RuneBigSword2Desc,items,Melee,New,传奇铸剑大师将湮灭符文之力凝练到了巨剑之上，拥有可怕的破坏力但显然不是常人能挥舞自如的【符文大剑的攻击力会随着意志等级的提升而成长】<战技：破军  重击消耗80点体力对范围内敌人造成1000点伤害并全部击倒> ,,,,,
RuneBigSword3Desc,items,Melee,New,传奇铸剑大师将雷霆符文之力凝练到了巨剑之上，拥有可怕的破坏力但显然不是常人能挥舞自如的【符文大剑的攻击力会随着意志等级的提升而成长】<战技：风暴支配  重击消耗80点体力对范围内敌人施加雷罚> ,,,,,
2broadswordDesc,items,Melee,New,<战技:二刀流>   右键激活进入二刀流，攻击速度上升35%，移动速度上升30%，攻击耐力消耗下降50%，持续10秒 ,,,,,
2broadswordFDesc,items,Melee,New,<战技:二刀流>右键激活进入二刀流，攻击速度上升35%，移动速度上升30%，攻击耐力消耗下降50%，持续10秒      炎之誓附魔：明显增强武器的伤害，攻击时有一定几率使敌人燃烧,,,,,
2broadswordBDesc,items,Melee,New,<战技:二刀流>右键激活进入二刀流，攻击速度上升35%，移动速度上升30%，攻击耐力消耗下降50%，持续10秒      血欲附魔：增加武器攻击速度，击杀敌人时会从敌人的血肉中汲取生命能量为自己恢复一定的生命值,,,,,
2broadswordBloodDesc,items,Melee,New,<战技:二刀流>右键激活进入二刀流，攻击速度上升35%，移动速度上升30%，攻击耐力消耗下降50%，持续10秒      血狂乱附魔：武器攻击力随意志等级成长，每击恢复2点生命值，击杀恢复15点生命值，生命低于30%时每击恢复量提升3倍，生命值越低伤害越高最多增加120%,,,,,
2broadswordDDesc,items,Melee,New,<战技:二刀流>右键激活进入二刀流，攻击速度上升35%，移动速度上升30%，攻击耐力消耗下降50%，持续10秒      毒疫附魔：增加武器攻击力，攻击时有一定几率附加恐怖的猛烈毒素,,,,,
2broadswordDuDesc,items,Melee,New,<战技:二刀流>右键激活进入二刀流，攻击速度上升35%，移动速度上升30%，攻击耐力消耗下降50%，持续10秒      腐尸毒附魔：每击杀1个敌人就会永久提高0.1的基础攻击力，攻击时有一定几率附加腐尸毒素每秒造成200-900点伤害【随杀敌数成长】,,,,,
2broadswordTDesc,items,Melee,New,<战技:二刀流>右键激活进入二刀流，攻击速度上升35%，移动速度上升30%，攻击耐力消耗下降50%，持续10秒      雷契附魔：增加武器的伤害和攻速，攻击时有一定几率使敌人电击,,,,,
2broadswordT2Desc,items,Melee,New,<战技:二刀流>右键激活进入二刀流，攻击速度上升35%，移动速度上升30%，攻击耐力消耗下降50%，持续10秒      雷罚：增加武器的伤害和攻速，攻击时有一定几率使范围敌人受到雷罚【伤害随意志等级成长】,,,,,
2broadswordIDesc,items,Melee,New,<战技:二刀流>右键激活进入二刀流，攻击速度上升35%，移动速度上升30%，攻击耐力消耗下降50%，持续10秒      冰魔附魔：增加武器的伤害，攻击时有一定几率使敌人霜冻大幅降低速度，继续攻击处于霜冻的敌人有几率将其冻结,,,,,
2broadswordIceDesc,items,Melee,New,<战技:二刀流>右键激活进入二刀流，攻击速度上升35%，移动速度上升30%，攻击耐力消耗下降50%，持续10秒      冰魔附魔：增加武器的伤害【伤害随意志等级提升】，攻击时有一定几率使范围敌人受到极冰伤害,,,,,
1911RuneDesc,items,Gun,New,受到神秘符文之力的强化，1911攻击力增强并可以使用元素子弹,,,,,
DvRuneDesc,items,Gun,New,受到神秘符文之力的强化，沙漠秃鹫攻击力增强并可以使用元素子弹,,,,,
ShzlRuneDesc,items,Gun,New,受到神秘符文之力的强化，圣花左轮可以有一定几率打出快速射击,,,,,
gunBowMCrossbowDesc,items,Gun,New,精密的机械连弩，可以快速的连发发射多种弩箭，并能使用更加强大的元素弩箭,,,,,
gunBowBig1CrossbowDesc,items,Gun,New,传说中可以猎杀魔物的超级弩炮，搭载多种令人闻风丧胆的巨型弩箭，即便强如古神的躯体也不能完全化解被击中时的破坏力,,,,,
M16Desc,items,Gun,New,第二次世界大战后美国换装的第二代步枪，也是世界上第一种装备部队并参加实战的小口径步枪，使用5.56毫米口径子弹。相当实用的枪械，末世里总能救人一命,,,,,
M4A1Desc,items,Gun,New,美国柯尔特公司研制的突击步枪，是M4步枪的第一改版，使用5.56毫米口径子弹。。M4A1有值得夸耀的射程和杀伤力，射速高。美丽国上世纪最优良的武器之一，保命神器,,,,,
1911Desc,items,Gun,New,1911年起生产的45ACP口径半自动手枪，由美国人约翰·勃朗宁设计，推出后立即成为美军的制式手枪并一直维持达74年。末世里最可靠的手枪，有钱就买一把,,,,,
AWMDesc,items,Gun,New,英国精密国际研发的北极作战系列的栓式狙击步枪，于1997年开始服役。射程极远，超过1300米仍有极强的杀伤能力。据说是丧失横行之前世界上综合性能最好的狙击步枪,,,,,
GatlingDesc,items,Gun,New,美国人理查德·乔登·加特林（医生）创作，1963年经美国通用电气公司改良后每分钟可发射6000发子弹。大慈大悲南无加特林菩萨，物理超度普众生，血月的不二选择,,,,,
AN94Desc,items,Gun,New,俄罗斯现役现代化小口径突击步枪。优点是两发点射的散布精度极高，缺点是人体工效不算好。有条件就装一个三点射模组吧,,,,,
M82Desc,items,Gun,New,使用12.7×99mm NATO（.50 BMG）口径弹药的半自动狙击步枪，能穿透硬装甲和等级8的防弹玻璃，最大射程6800米。啥都别说你就让我打一枪，一枪就好，真的,,,,,
M249Desc,items,Gun,New,发射5.56×45毫米口径北约标准弹药，1984年正式成为美国陆、海、空三军制式班用机枪，亦是步兵班中最具持久连射火力的武器。男人就要持久，机枪也是一样,,,,,
UziDesc,items,Gun,New,由乌兹·盖尔于1948年设计，是一种十分有效的近战武器，尤其是用于清除室内、碉堡及战壕里的敌人，作为自卫武器使用。用来对付小波僵尸绰绰有余了,,,,,
TangMusunDesc,items,Gun,New,美国二战期间生产的著名的冲锋枪之一。由于开枪的声音嗒嗒嗒地似打字机，被称为芝加哥打字机，此外还有芝加哥小提琴、芝加哥钢琴，火力威猛、压制力强，曾被美国黑帮大量使用。上帝保佑，愿你在用这把枪打僵尸时不会卡弹,,,,,
ScarDesc,items,Gun,New,SCAR因为采用了模块化设计，所以可以在两种口径之间变换，每种又能改装成远战和近战模式，因此2003年赢得US SOCOM的特战部队新型枪支标案,,,,,
pxspDesc,items,Gun,New,传奇调查员使用过的复仇之枪【禁忌无效】,,,,,
ShzlDesc,items,Gun,New,专门用于对付魔物的破魔之枪，可以搭载具有各种功能的元素子弹，也可以使用普通的左轮子弹,,,,,
mdGrenadeDesc,items,Gun,New,浓缩了猛毒元素的手雷，爆炸时产生的浓烈毒雾可使范围内敌人身中剧毒,,,,,
fsGrenadeDesc,items,Gun,New,浓缩了腐蚀元素的手雷，爆炸时会使范围内敌人身中腐蚀效果削弱护甲和元素抵抗,,,,,
IceGrenadeDesc,items,Gun,New,浓缩了极寒霜冻元素的手雷，爆炸时会使范围内敌人身中霜冻效果大幅度降低速度，若被波及敌人已处于霜冻则有几率被冻结,,,,,
CrazyHandDesc,item_modifiers,Mod,New,减少武器25%的耐久损耗，增加30点基础伤害，15%-35%的几率造成1.5倍-4倍的暴击伤害【随意志等级成长】,,,,,
Chaos01Desc,item_modifiers,Mod,New,混沌之息又称图尔兹查之息，借助阿撒托斯眷属图尔兹查的混沌之力派生而出，混沌之力加持会增加对古神30%的伤害 【当力量值大于10点时增加50%的攻击速度】【当敏捷值大于10点时增加50点武器基础伤害】【当意志强度大于4时获得范围2的600点溅射伤害】,,,,,
FireMuzzle1Desc,item_modifiers,Mod,New,减少后坐力，增加精度，提高15%的枪械伤害，攻击时有50%几率使敌人燃烧,,,,,
FireMuzzle2Desc,item_modifiers,Mod,New,减少后坐力，增加精度，提高30%的枪械伤害，攻击时有55%几率使敌人燃烧,,,,,
FireMuzzle3Desc,item_modifiers,Mod,New,较大程度的减少后坐力，增加精度，提高45%的枪械伤害，攻击时有60%几率使敌人燃烧,,,,,
FireMuzzle4Desc,item_modifiers,Mod,New,较大程度的减少后坐力增加精度，提高45%的枪械伤害，每击杀一个敌方单位永久提高0.05的基础伤害，并在攻击敌人时会附加相同数值的真实伤害；攻击时有60%几率使敌人燃烧,,,,,
ThMuzzle1Desc,item_modifiers,Mod,New,减少后坐力，增加精度，提高10%的枪械伤害，攻击时有10%几率使敌人电击,,,,,
ThMuzzle2Desc,item_modifiers,Mod,New,减少后坐力，增加精度，提高20%的枪械伤害，攻击时有20%几率使敌人电击,,,,,
ThMuzzle3Desc,item_modifiers,Mod,New,较大程度的减少后坐力，增加精度，提高30%的枪械伤害，攻击时有30%几率使敌人电击,,,,,
ThMuzzle4Desc,item_modifiers,Mod,New,较大程度的减少后坐力，增加精度，提高30%的枪械伤害，攻击时有30%几率使范围敌人受到雷罚【随意志等级成长伤害】,,,,,
Shadow01-1Desc,item_modifiers,Mod,New,除了消音器的功能外，爆头能够提高2倍伤害，但作为代价会消耗10点SAN值，如果SAN低于10%则消耗30点生命  <集齐三件套可以激发套装效果  灵魂熔炼：每击杀一个敌方单位提高0.5灵魂数量并恢复10点SAN值，灵魂数量可以提高狙击枪与弓弩基础攻击力，但若死亡将清除全部灵魂数量>,,,,,
Shadow02Desc,item_modifiers,Mod,New,8倍镜并增加25%的射程，爆头能够提高3倍伤害，但作为代价会消耗20点SAN值，如果SAN低于20%则消耗50点生命    <集齐三件套可以激发套装效果  灵魂熔炼：每击杀一个敌方单位提高0.5灵魂数量并恢复10点SAN值，灵魂数量可以提高狙击枪与弓弩基础攻击力，但若死亡将清除全部灵魂数量>,,,,,
Shadow03Desc,item_modifiers,Mod,New,利用特殊的固定支撑装置链接虚空中的暗影节点直接提取梦魇的力量，可以增强枪械的精准度但会加重准星的扩散，极大幅提高狙击枪和弩炮的基础伤害，但在移动时会消耗SAN值【提升伤害随意志强度成长】    <集齐三件套可以激发套装效果  灵魂熔炼：每击杀一个敌方单位提高0.5灵魂数量并恢复10点SAN值，灵魂数量可以提高狙击枪与弓弩基础攻击力，但若死亡将清除全部灵魂数量>,,,,,
BloodMuzzle1Desc,item_modifiers,Mod,New,减少后坐力，增加精度，提高10%的枪械伤害，击杀敌人恢复8点生命值,,,,,
BloodMuzzle2Desc,item_modifiers,Mod,New,减少后坐力，增加精度，提高15%的枪械伤害，击杀敌人恢复12点生命值,,,,,
BloodMuzzle3Desc,item_modifiers,Mod,New,较大程度的减少后坐力，增加精度，提高20%的枪械伤害，击杀敌人恢复16点生命值,,,,,
BloodMuzzle4Desc,item_modifiers,Mod,New,较大程度的减少后坐力，增加精度，提高20%的枪械伤害，击杀敌人恢复20点生命值，血量低于40%时提高100点基础攻击力，血量低于30%时每次攻击恢复1点生命值,,,,,
IceMuzzle1Desc,item_modifiers,Mod,New,减少后坐力，增加精度，提高10点和10%的枪械伤害，攻击时有10%几率使敌人霜冻，若敌人已经霜冻则有一定几率冻结,,,,,
IceMuzzle2Desc,item_modifiers,Mod,New,减少后坐力，增加精度，提高20点和10%的枪械伤害，攻击时有20%几率使敌人霜冻，若敌人已经霜冻则有一定几率冻结,,,,,
IceMuzzle3Desc,item_modifiers,Mod,New,较大程度的减少后坐力，增加精度，提高35点和15%的枪械伤害，攻击时有35%几率使敌人霜冻，若敌人已经霜冻则有一定几率冻结,,,,,
IceMuzzle4Desc,item_modifiers,Mod,New,较大程度的减少后坐力，增加精度，提高30-67点基础伤害和15%的枪械伤害，攻击时有35%几率释放极冰新星冻结范围敌人并造成600点伤害【增加伤害随意志等级提升成长】,,,,,
ThKernelDesc,item_modifiers,Mod,New,提高15点基础伤害，无视护甲25%，对生物的伤害提高50%，攻击时有10%几率使敌人电击,,,,,
dyBulletDesc,item_modifiers,Mod,New,提高10点基础伤害，攻击时有20%几率致残敌人20%的几率使敌人中剧毒,,,,,
dyBullet2Desc,item_modifiers,Mod,New,大幅提高基础伤害【随意志等级成长】，攻击时有40%向敌人注入恐怖毒素持续造成大量伤害，并在3秒之后发生剧毒爆发使范围内敌人中猛毒,,,,,
szBulletDesc,item_modifiers,Mod,New,提高20点基础伤害，攻击时有20%几率致残敌人10%的几率使敌人受到死咒,,,,,
yyBulletDesc,item_modifiers,Mod,New,提高20%的伤害，攻击速度与换弹速度下降40%，攻击时有20%几率致残敌人，每隔一段时间会获得鹰眼增益，会随着时间增长逐渐增强下一次攻击的精度、伤害、冲击力，直到攻击一次后增益效果就会消失,,,,,
szBladeDesc,item_modifiers,Mod,New,提高30点伤害，武器耐久损失速度下降40%，攻击时有20%使敌人受到死咒,,,,,
